```
$ ./bin/bench_kernels 
2023-01-11T22:23:50+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 6.83, 6.42, 6.08
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        3134 ns         3134 ns       184377
GeneratorRY<float>/AVX512/8                        5714 ns         5713 ns       124190
GeneratorRY<float>/AVX512/10                      10826 ns        10826 ns        65331
GeneratorRY<float>/AVX512/12                      30034 ns        30033 ns        23568
GeneratorRY<float>/AVX512/14                     147428 ns       147428 ns         4751
GeneratorRY<float>/AVX512/16                     572117 ns       572072 ns         1228
GeneratorRY<float>/AVX512/18                    4080363 ns      4080372 ns          173
GeneratorRY<float>/AVX512/20                   17296884 ns     17295810 ns           39
GeneratorRY<float>/AVX512/22                  112299126 ns    112294396 ns            6
GeneratorRY<float>/AVX512/24                  524460800 ns    524411896 ns            1
GeneratorRZ<float>/AVX512/6                        3180 ns         3180 ns       223749
GeneratorRZ<float>/AVX512/8                        5049 ns         5049 ns       100000
GeneratorRZ<float>/AVX512/10                       9682 ns         9681 ns        71971
GeneratorRZ<float>/AVX512/12                      23568 ns        23568 ns        29675
GeneratorRZ<float>/AVX512/14                      92668 ns        92662 ns         7396
GeneratorRZ<float>/AVX512/16                     360763 ns       360760 ns         1981
GeneratorRZ<float>/AVX512/18                    2687738 ns      2687475 ns          276
GeneratorRZ<float>/AVX512/20                   10796565 ns     10796591 ns           74
GeneratorRZ<float>/AVX512/22                   73719096 ns     73717426 ns            9
GeneratorRZ<float>/AVX512/24                  346319632 ns    346302266 ns            2
GeneratorRX<float>/AVX512/6                        3195 ns         3195 ns       218058
GeneratorRX<float>/AVX512/8                        3849 ns         3849 ns       179596
GeneratorRX<float>/AVX512/10                       6250 ns         6250 ns       112455
GeneratorRX<float>/AVX512/12                      15828 ns        15829 ns        43561
GeneratorRX<float>/AVX512/14                      87844 ns        87844 ns         7889
GeneratorRX<float>/AVX512/16                     353314 ns       353296 ns         1984
GeneratorRX<float>/AVX512/18                    3161410 ns      3161418 ns          220
GeneratorRX<float>/AVX512/20                   13920202 ns     13919388 ns           49
GeneratorRX<float>/AVX512/22                  105167529 ns    105164580 ns            7
GeneratorRX<float>/AVX512/24                  502629690 ns    502631063 ns            1
RY<float>/AVX512/6                                 3721 ns         3721 ns       188656
RY<float>/AVX512/8                                 7549 ns         7549 ns        93060
RY<float>/AVX512/10                               13672 ns        13671 ns        52707
RY<float>/AVX512/12                               34668 ns        34668 ns        20485
RY<float>/AVX512/14                              150306 ns       150300 ns         4697
RY<float>/AVX512/16                              598964 ns       598966 ns         1176
RY<float>/AVX512/18                             4216707 ns      4216542 ns          164
RY<float>/AVX512/20                            18036837 ns     18035937 ns           39
RY<float>/AVX512/22                           121906877 ns    121907061 ns            6
