```
$ ./benchmark_all.sh 
2023-01-01T19:40:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 2.37, 1.92, 1.59
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        3203 ns         3203 ns       219841
GeneratorRY<float>/AVX512/8                        4140 ns         4140 ns       158421
GeneratorRY<float>/AVX512/10                      12484 ns        12482 ns        57467
GeneratorRY<float>/AVX512/12                      35304 ns        35302 ns        20825
GeneratorRY<float>/AVX512/14                     147889 ns       147880 ns         4669
GeneratorRY<float>/AVX512/16                     590635 ns       590611 ns         1189
GeneratorRY<float>/AVX512/18                    3951325 ns      3951129 ns          165
GeneratorRY<float>/AVX512/20                   17946439 ns     17945707 ns           37
GeneratorRY<float>/AVX512/22                  112221043 ns    112210249 ns            6
GeneratorRY<float>/AVX512/24                  531368349 ns    531369583 ns            1
GeneratorRZ<float>/AVX512/6                        3319 ns         3319 ns       212306
GeneratorRZ<float>/AVX512/8                        4107 ns         4107 ns       171510
GeneratorRZ<float>/AVX512/10                       6874 ns         6874 ns       102309
GeneratorRZ<float>/AVX512/12                      18597 ns        18597 ns        36348
GeneratorRZ<float>/AVX512/14                     109759 ns       109759 ns         6196
GeneratorRZ<float>/AVX512/16                     439304 ns       439301 ns         1662
GeneratorRZ<float>/AVX512/18                    2409620 ns      2409515 ns          271
GeneratorRZ<float>/AVX512/20                   11395444 ns     11394963 ns           55
GeneratorRZ<float>/AVX512/22                   81433904 ns     81430315 ns            8
GeneratorRZ<float>/AVX512/24                  364229253 ns    364213284 ns            2
GeneratorRX<float>/AVX512/6                        3338 ns         3338 ns       211970
GeneratorRX<float>/AVX512/8                        4013 ns         4013 ns       173611
GeneratorRX<float>/AVX512/10                       6563 ns         6563 ns       101992
GeneratorRX<float>/AVX512/12                      18003 ns        18003 ns        37748
GeneratorRX<float>/AVX512/14                      90324 ns        90324 ns         7759
GeneratorRX<float>/AVX512/16                     362591 ns       362593 ns         1928
GeneratorRX<float>/AVX512/18                    3262879 ns      3262886 ns          214
GeneratorRX<float>/AVX512/20                   14320278 ns     14320039 ns           48
GeneratorRX<float>/AVX512/22                  106001766 ns    106000851 ns            7
GeneratorRX<float>/AVX512/24                  494747646 ns    494720911 ns            2
RY<float>/AVX512/6                                 3850 ns         3850 ns       183117
RY<float>/AVX512/8                                 8031 ns         8031 ns        88292
