```
$ ./bin/bench_kernels
2023-01-04T06:35:37+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.52, 0.65, 1.03
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        3175 ns         3174 ns       194467
GeneratorRY<float>/AVX512/8                        4076 ns         4075 ns       170315
GeneratorRY<float>/AVX512/10                      12092 ns        12087 ns        57750
GeneratorRY<float>/AVX512/12                      33008 ns        32997 ns        20562
GeneratorRY<float>/AVX512/14                     143898 ns       143873 ns         4856
GeneratorRY<float>/AVX512/16                     573892 ns       573597 ns         1223
GeneratorRY<float>/AVX512/18                    4068130 ns      4067757 ns          173
GeneratorRY<float>/AVX512/20                   17002573 ns     17000222 ns           38
GeneratorRY<float>/AVX512/22                  115839730 ns    115803864 ns            6
GeneratorRY<float>/AVX512/24                  534514965 ns    534229140 ns            1
GeneratorRZ<float>/AVX512/6                        3189 ns         3188 ns       217115
GeneratorRZ<float>/AVX512/8                        3916 ns         3915 ns       178914
GeneratorRZ<float>/AVX512/10                       6917 ns         6916 ns       100356
GeneratorRZ<float>/AVX512/12                      17606 ns        17604 ns        38690
GeneratorRZ<float>/AVX512/14                     109029 ns       109014 ns         6425
GeneratorRZ<float>/AVX512/16                     402750 ns       402681 ns         1791
GeneratorRZ<float>/AVX512/18                    2491217 ns      2490606 ns          289
GeneratorRZ<float>/AVX512/20                   10930857 ns     10929133 ns           63
GeneratorRZ<float>/AVX512/22                   80100324 ns     80059830 ns            8
GeneratorRZ<float>/AVX512/24                  379980802 ns    379869256 ns            2
GeneratorRX<float>/AVX512/6                        3210 ns         3209 ns       221210
GeneratorRX<float>/AVX512/8                        3801 ns         3801 ns       185694
GeneratorRX<float>/AVX512/10                       6421 ns         6419 ns       108475
GeneratorRX<float>/AVX512/12                      18124 ns        18120 ns        39956
GeneratorRX<float>/AVX512/14                      88218 ns        88173 ns         7946
GeneratorRX<float>/AVX512/16                     353125 ns       353001 ns         1987
GeneratorRX<float>/AVX512/18                    3138349 ns      3137060 ns          223
GeneratorRX<float>/AVX512/20                   13742639 ns     13736885 ns           49
GeneratorRX<float>/AVX512/22                  104425979 ns    104378544 ns            7
GeneratorRX<float>/AVX512/24                  488096355 ns    487812141 ns            2
RY<float>/AVX512/6                                 3655 ns         3654 ns       189668
RY<float>/AVX512/8                                 7605 ns         7602 ns        91705
RY<float>/AVX512/10                               14660 ns        14654 ns        48209
RY<float>/AVX512/12                               41710 ns        41700 ns        17450
RY<float>/AVX512/14                              155983 ns       155872 ns         4248
RY<float>/AVX512/16                              613389 ns       613191 ns         1185
RY<float>/AVX512/18                             4310922 ns      4308402 ns          159
RY<float>/AVX512/20                            18517079 ns     18508683 ns           37
RY<float>/AVX512/22                           115300679 ns    115271697 ns            6
RY<float>/AVX512/24                           522369247 ns    522051489 ns            1
RX<float>/AVX512/6                                 3775 ns         3773 ns       187493
RX<float>/AVX512/8                                 7632 ns         7627 ns        92582
RX<float>/AVX512/10                               13806 ns        13801 ns        48401
RX<float>/AVX512/12                               38412 ns        38393 ns        18129
RX<float>/AVX512/14                              147338 ns       147303 ns         4791
RX<float>/AVX512/16                              571374 ns       571291 ns         1170
RX<float>/AVX512/18                             4091784 ns      4090685 ns          172
RX<float>/AVX512/20                            17548540 ns     17536868 ns           39
RX<float>/AVX512/22                           116736812 ns    116711970 ns            6
RX<float>/AVX512/24                           529613448 ns    529342529 ns            1
Rot<float>/AVX512/6                               11510 ns        11505 ns        60756
Rot<float>/AVX512/8                               14131 ns        14126 ns        49798
Rot<float>/AVX512/10                              24764 ns        24752 ns        28793
Rot<float>/AVX512/12                              65019 ns        65013 ns        10638
Rot<float>/AVX512/14                             222052 ns       222033 ns         3127
Rot<float>/AVX512/16                             847585 ns       847320 ns          821
Rot<float>/AVX512/18                            4426087 ns      4425603 ns          161
Rot<float>/AVX512/20                           18793896 ns     18784563 ns           36
Rot<float>/AVX512/22                          120235510 ns    120196011 ns            6
Rot<float>/AVX512/24                          542022707 ns    541725706 ns            1
RZ<float>/AVX512/6                                 3694 ns         3692 ns       187468
RZ<float>/AVX512/8                                 7318 ns         7317 ns        94786
RZ<float>/AVX512/10                               13668 ns        13666 ns        53040
RZ<float>/AVX512/12                               38053 ns        38050 ns        18142
RZ<float>/AVX512/14                              149012 ns       148990 ns         4590
RZ<float>/AVX512/16                              594385 ns       594229 ns         1171
RZ<float>/AVX512/18                             4070141 ns      4068077 ns          171
RZ<float>/AVX512/20                            17333670 ns     17329335 ns           39
RZ<float>/AVX512/22                           116413441 ns    116362215 ns            6
RZ<float>/AVX512/24                           528295767 ns    528112182 ns            1
IsingXX<float>/AVX512/6                            4123 ns         4121 ns       175073
IsingXX<float>/AVX512/8                            8373 ns         8371 ns        87133
IsingXX<float>/AVX512/10                          14774 ns        14771 ns        47274
IsingXX<float>/AVX512/12                          41481 ns        41470 ns        16795
IsingXX<float>/AVX512/14                         154883 ns       154861 ns         4479
IsingXX<float>/AVX512/16                         611798 ns       611533 ns         1165
IsingXX<float>/AVX512/18                        4182053 ns      4181234 ns          169
IsingXX<float>/AVX512/20                       17845300 ns     17838918 ns           38
IsingXX<float>/AVX512/22                      117834794 ns    117796418 ns            6
IsingXX<float>/AVX512/24                      536465159 ns    536315658 ns            1
PauliZ<float>/AVX512/6                             3439 ns         3438 ns       202331
PauliZ<float>/AVX512/8                             4072 ns         4070 ns       171963
PauliZ<float>/AVX512/10                            7015 ns         7013 ns       101160
PauliZ<float>/AVX512/12                           18882 ns        18881 ns        39568
PauliZ<float>/AVX512/14                          106878 ns       106872 ns         6567
PauliZ<float>/AVX512/16                          403592 ns       403564 ns         1715
PauliZ<float>/AVX512/18                         2194260 ns      2193998 ns          277
PauliZ<float>/AVX512/20                        11382498 ns     11379796 ns           62
PauliZ<float>/AVX512/22                        85968727 ns     85933978 ns            8
PauliZ<float>/AVX512/24                       365721653 ns    365387739 ns            2
IsingZZ<float>/AVX512/6                            3958 ns         3956 ns       175774
IsingZZ<float>/AVX512/8                            8207 ns         8204 ns        85104
IsingZZ<float>/AVX512/10                          14616 ns        14611 ns        49058
IsingZZ<float>/AVX512/12                          39284 ns        39271 ns        17624
IsingZZ<float>/AVX512/14                         149877 ns       149816 ns         4667
IsingZZ<float>/AVX512/16                         586997 ns       586841 ns         1186
IsingZZ<float>/AVX512/18                        4048792 ns      4048797 ns          172
IsingZZ<float>/AVX512/20                       17458766 ns     17458501 ns           39
IsingZZ<float>/AVX512/22                      113645455 ns    113636852 ns            6
IsingZZ<float>/AVX512/24                      517569073 ns    517364390 ns            1
T<float>/AVX512/6                                  3268 ns         3267 ns       214681
T<float>/AVX512/8                                  6487 ns         6484 ns       105502
T<float>/AVX512/10                                11106 ns        11103 ns        62525
T<float>/AVX512/12                                29053 ns        29040 ns        23829
T<float>/AVX512/14                               111496 ns       111473 ns         6480
T<float>/AVX512/16                               437133 ns       436963 ns         1659
T<float>/AVX512/18                              2536525 ns      2535806 ns          291
T<float>/AVX512/20                             10923956 ns     10921218 ns           60
T<float>/AVX512/22                             81124066 ns     81110940 ns            8
T<float>/AVX512/24                            330879305 ns    330632964 ns            2
IsingYY<float>/AVX512/6                            4127 ns         4127 ns       177861
IsingYY<float>/AVX512/8                            8337 ns         8334 ns        85477
IsingYY<float>/AVX512/10                          15003 ns        14997 ns        46225
IsingYY<float>/AVX512/12                          40936 ns        40932 ns        17057
IsingYY<float>/AVX512/14                         151466 ns       151405 ns         4613
