```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-02T21:25:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.89, 0.80, 0.63
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        4799 ns         4799 ns       125353
GeneratorRY<float>/AVX512/8                        5188 ns         5188 ns       134858
GeneratorRY<float>/AVX512/10                      13633 ns        13633 ns        51393
GeneratorRY<float>/AVX512/12                      36950 ns        36949 ns        18762
GeneratorRY<float>/AVX512/14                     145667 ns       145652 ns         4748
GeneratorRY<float>/AVX512/16                     575187 ns       575157 ns         1232
GeneratorRY<float>/AVX512/18                    4079620 ns      4079477 ns          173
GeneratorRY<float>/AVX512/20                   17379203 ns     17379281 ns           40
GeneratorRY<float>/AVX512/22                  110704297 ns    110695856 ns            6
GeneratorRY<float>/AVX512/24                  508960588 ns    508826569 ns            1
GeneratorRZ<float>/AVX512/6                        4374 ns         4374 ns       161475
GeneratorRZ<float>/AVX512/8                        5053 ns         5052 ns       137970
GeneratorRZ<float>/AVX512/10                       7984 ns         7983 ns        88942
GeneratorRZ<float>/AVX512/12                      19651 ns        19650 ns        36241
GeneratorRZ<float>/AVX512/14                     112608 ns       112608 ns         5956
GeneratorRZ<float>/AVX512/16                     419144 ns       419076 ns         1682
GeneratorRZ<float>/AVX512/18                    2771304 ns      2771039 ns          304
GeneratorRZ<float>/AVX512/20                   11568551 ns     11566635 ns           67
GeneratorRZ<float>/AVX512/22                   80291761 ns     80290419 ns            9
GeneratorRZ<float>/AVX512/24                  364034100 ns    364000873 ns            2
GeneratorRX<float>/AVX512/6                        4237 ns         4236 ns       162264
GeneratorRX<float>/AVX512/8                        4954 ns         4953 ns       142409
GeneratorRX<float>/AVX512/10                       7441 ns         7440 ns        92990
GeneratorRX<float>/AVX512/12                      18601 ns        18600 ns        38401
GeneratorRX<float>/AVX512/14                      88195 ns        88190 ns         7872
GeneratorRX<float>/AVX512/16                     350443 ns       350407 ns         1972
GeneratorRX<float>/AVX512/18                    3147602 ns      3147416 ns          224
GeneratorRX<float>/AVX512/20                   13364756 ns     13360714 ns           52
GeneratorRX<float>/AVX512/22                   98867800 ns     98846166 ns            7
GeneratorRX<float>/AVX512/24                  492478086 ns    492397918 ns            2
