```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-04T03:59:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.70, 0.56, 0.55
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        4665 ns         4665 ns       125045
GeneratorRY<float>/AVX512/8                        5390 ns         5390 ns       133225
GeneratorRY<float>/AVX512/10                      13847 ns        13847 ns        49095
GeneratorRY<float>/AVX512/12                      36330 ns        36329 ns        18708
GeneratorRY<float>/AVX512/14                     142726 ns       142721 ns         4902
GeneratorRY<float>/AVX512/16                     561112 ns       561101 ns         1245
GeneratorRY<float>/AVX512/18                    3991851 ns      3991347 ns          179
GeneratorRY<float>/AVX512/20                   17233651 ns     17233402 ns           38
GeneratorRY<float>/AVX512/22                  113031703 ns    113024716 ns            6
GeneratorRY<float>/AVX512/24                  513394669 ns    513357492 ns            1
GeneratorRZ<float>/AVX512/6                        4330 ns         4330 ns       164296
GeneratorRZ<float>/AVX512/8                        5004 ns         5003 ns       100000
GeneratorRZ<float>/AVX512/10                       7918 ns         7917 ns        89627
GeneratorRZ<float>/AVX512/12                      19634 ns        19634 ns        36675
GeneratorRZ<float>/AVX512/14                     103249 ns       103236 ns         6275
GeneratorRZ<float>/AVX512/16                     411074 ns       410993 ns         1761
GeneratorRZ<float>/AVX512/18                    2126398 ns      2126403 ns          267
GeneratorRZ<float>/AVX512/20                    9484840 ns      9484470 ns           70
GeneratorRZ<float>/AVX512/22                   70723235 ns     70723473 ns            8
GeneratorRZ<float>/AVX512/24                  376543700 ns    376510027 ns            2
GeneratorRX<float>/AVX512/6                        4242 ns         4242 ns       166378
GeneratorRX<float>/AVX512/8                        4964 ns         4963 ns       142357
GeneratorRX<float>/AVX512/10                       7461 ns         7460 ns        93588
GeneratorRX<float>/AVX512/12                      18960 ns        18960 ns        35874
GeneratorRX<float>/AVX512/14                      88381 ns        88377 ns         7945
GeneratorRX<float>/AVX512/16                     346746 ns       346740 ns         2011
GeneratorRX<float>/AVX512/18                    3189503 ns      3189077 ns          217
GeneratorRX<float>/AVX512/20                   13942172 ns     13940915 ns           49
GeneratorRX<float>/AVX512/22                  103629077 ns    103598570 ns            7
GeneratorRX<float>/AVX512/24                  484739210 ns    484703171 ns            2
RY<float>/AVX512/6                                 4754 ns         4754 ns       146543
RY<float>/AVX512/8                                 9212 ns         9212 ns        75886
RY<float>/AVX512/10                               15597 ns        15594 ns        45038
RY<float>/AVX512/12                               40206 ns        40205 ns        17225
RY<float>/AVX512/14                              151515 ns       151488 ns         4593
RY<float>/AVX512/16                              585232 ns       585210 ns         1201
RY<float>/AVX512/18                             4033528 ns      4032454 ns          173
RY<float>/AVX512/20                            17278645 ns     17275994 ns           40
RY<float>/AVX512/22                           113769423 ns    113746147 ns            6
RY<float>/AVX512/24                           524137769 ns    524074544 ns            1
RX<float>/AVX512/6                                 4691 ns         4690 ns       147468
RX<float>/AVX512/8                                 9142 ns         9140 ns        76335
RX<float>/AVX512/10                               15424 ns        15422 ns        45686
RX<float>/AVX512/12                               39996 ns        39989 ns        17378
RX<float>/AVX512/14                              143668 ns       143656 ns         4841
RX<float>/AVX512/16                              567501 ns       567333 ns         1207
RX<float>/AVX512/18                             4022390 ns      4022062 ns          174
RX<float>/AVX512/20                            17256243 ns     17253493 ns           39
RX<float>/AVX512/22                           116011985 ns    115998016 ns            6
RX<float>/AVX512/24                           518106757 ns    518079931 ns            1
Rot<float>/AVX512/6                               13222 ns        13220 ns        52566
Rot<float>/AVX512/8                               15650 ns        15648 ns        44970
Rot<float>/AVX512/10                              26262 ns        26257 ns        26474
Rot<float>/AVX512/12                              67096 ns        67083 ns        10173
Rot<float>/AVX512/14                             219590 ns       219531 ns         3122
Rot<float>/AVX512/16                             842428 ns       842196 ns          826
Rot<float>/AVX512/18                            4469517 ns      4469340 ns          157
Rot<float>/AVX512/20                           18750827 ns     18747494 ns           37
Rot<float>/AVX512/22                          120486231 ns    120447929 ns            6
Rot<float>/AVX512/24                          543515263 ns    543411447 ns            1
RZ<float>/AVX512/6                                 4730 ns         4729 ns       146331
RZ<float>/AVX512/8                                 9114 ns         9113 ns        75070
RZ<float>/AVX512/10                               15276 ns        15274 ns        47242
RZ<float>/AVX512/12                               39811 ns        39805 ns        18288
RZ<float>/AVX512/14                              150924 ns       150905 ns         4594
RZ<float>/AVX512/16                              599919 ns       599857 ns         1159
RZ<float>/AVX512/18                             4099897 ns      4099151 ns          171
RZ<float>/AVX512/20                            17699996 ns     17697960 ns           38
RZ<float>/AVX512/22                           117765133 ns    117747315 ns            6
RZ<float>/AVX512/24                           540593700 ns    540431693 ns            1
IsingXX<float>/AVX512/6                            5156 ns         5156 ns       138915
IsingXX<float>/AVX512/8                           10107 ns        10106 ns        71108
IsingXX<float>/AVX512/10                          16631 ns        16626 ns        41974
IsingXX<float>/AVX512/12                          44121 ns        44116 ns        16179
IsingXX<float>/AVX512/14                         156899 ns       156872 ns         4500
IsingXX<float>/AVX512/16                         617687 ns       617623 ns         1144
IsingXX<float>/AVX512/18                        4117942 ns      4117448 ns          169
IsingXX<float>/AVX512/20                       17822554 ns     17815712 ns           38
IsingXX<float>/AVX512/22                      116150773 ns    116131929 ns            6
IsingXX<float>/AVX512/24                      521417705 ns    521381307 ns            1
PauliZ<float>/AVX512/6                             4500 ns         4500 ns       157564
PauliZ<float>/AVX512/8                             5101 ns         5101 ns       137690
