

===========================================================================================================================================
Comparison   gcc_run_bare_metal_2.txt  vs  clang_run_bare_metal_2.txt
Load Average: 0.69, 0.60, 0.70    vs      Load Average: 0.52, 0.65, 1.03
RT1             CPUT1           IT1             
#1 1336008819551   1335759811010   55934441        
#1 4.42387e+08     4.42305e+08     18521.3         
#2 830112010356    829955389480    62061339        
#2 2.74872e+08     2.7482e+08      20550.1         
37.8663         37.8664         -10.9537        
Total #ops: 3020
#op 2nd one Dominant: 1721            1720            1516            
#op 1st one Dominant: 1299            1300            1504            


===========================================================================================================================================
Comparison   gcc_run_bare_metal_2.txt  vs  clang_run_bare_metal_2.txt
Load Average: 0.69, 0.60, 0.70    vs      Load Average: 0.52, 0.65, 1.03
302==302
GeneratorRY<float>/AVX512/24 -6.95415 -6.90993 0.988592
GeneratorRZ<float>/AVX512/24 2.63019 2.63974 -32.3723
GeneratorRX<float>/AVX512/24 3.5578 3.59493 -8.1879
PauliY<float>/AVX512/24 -5.05879 -5.03662 -10.2003
PauliZ<float>/AVX512/24 -0.156832 -0.100337 -31.3078
PauliX<float>/AVX512/24 2.48271 2.4965 -4.99921
T<float>/AVX512/24 7.93504 7.97321 -12.5692
Hadamard<float>/AVX512/24 -0.569855 -0.543496 -41.2509
S<float>/AVX512/24 5.90028 5.81066 -6.25796
IsingYY<float>/AVX512/24 2.05733 2.05341 -5.11521
RZ<float>/AVX512/24 0.858993 0.874972 -6.30311
Rot<float>/AVX512/24 1.30336 1.34076 -28.8286
RX<float>/AVX512/24 1.30538 1.3339 -5.02399
RY<float>/AVX512/24 5.29475 5.33848 -2.48521
CZ<float>/AVX512/24 7.66075 7.68762 -36.6597
SWAP<float>/AVX512/24 -3.06475 -3.02103 1.08759
CNOT<float>/AVX512/24 9.46794 9.34372 -1.33702
IsingZZ<float>/AVX512/24 8.66526 8.68228 -6.38506
IsingXX<float>/AVX512/24 3.38597 3.3973 -6.62478
PhaseShift<float>/AVX512/24 4.23046 4.23105 -10.5907
SingleQubitOp<float>/AVX512/24/1 0.540755 0.57441 -14.9437
GeneratorRZ<float>/AVX2/24 1.09034 1.12117 3.77604
GeneratorRY<float>/AVX2/24 -3.1319 -3.10445 -2.03185
GeneratorRX<float>/AVX2/24 -2.75862 -2.74524 -6.11144
PauliZ<float>/AVX2/24 -14.6764 -14.689 4.04254
PauliY<float>/AVX2/24 -6.34753 -6.34151 -1.0048
PauliX<float>/AVX2/24 -4.30316 -4.29707 -2.59435
PhaseShift<float>/AVX2/24 -2.35208 -2.35158 2.96966
S<float>/AVX2/24 1.63618 1.64287 -2.53759
IsingYY<float>/AVX2/24 -2.14415 -2.10691 2.48032
Hadamard<float>/AVX2/24 1.30574 1.29399 0.537942
Rot<float>/AVX2/24 -1.0115 -1.01201 -21.1483
RZ<float>/AVX2/24 1.29049 1.30133 2.52558
RY<float>/AVX2/24 -1.02707 -1.01604 -0.647328
RX<float>/AVX2/24 -5.87707 -5.86254 -4.4885
SWAP<float>/AVX2/24 -12.4132 -12.4181 -2.42073
CZ<float>/AVX2/24 -8.62168 -8.59299 2.33693
CNOT<float>/AVX2/24 -9.7943 -9.77906 1.35648
IsingZZ<float>/AVX2/24 -4.4165 -4.39535 1.56611
T<float>/AVX2/24 -10.7116 -10.6901 -6.34241
IsingXX<float>/AVX2/24 -1.17431 -1.18926 3.069
SingleQubitOp<float>/AVX2/24/1 1.95399 1.96028 -1.36684
GeneratorDoubleExcitationMinus<float>/PI/24 56.4317 56.4349 -39.281
GeneratorDoubleExcitationPlus<float>/PI/24 20.8512 20.8582 -0.351649
GeneratorIsingXY<float>/PI/24 6.82569 6.84678 -6.14641
GeneratorIsingXX<float>/PI/24 8.62778 8.64478 -4.91238
GeneratorIsingZZ<float>/PI/24 -4.58531 -4.57018 5.87841
GeneratorCRY<float>/PI/24 64.689 64.6901 -114.917
GeneratorCRX<float>/PI/24 7.03295 7.01529 -6.45886
GeneratorControlledPhaseShift<float>/PI/24 -2.57887 -2.57993 1.8211
GeneratorCRZ<float>/PI/24 2.05049 2.05065 -3.5734
GeneratorRY<float>/PI/24 -9.62028 -9.61976 8.34572
GeneratorDoubleExcitation<float>/PI/24 15.9273 15.9209 -12.1302
GeneratorIsingYY<float>/PI/24 0.223046 0.218902 -1.1579
GeneratorRZ<float>/PI/24 -3.24101 -3.25963 2.09912
GeneratorPhaseShift<float>/PI/24 -1.56777 -1.56565 -2.02161
GeneratorRX<float>/PI/24 1.01919 0.996584 -7.16807
PauliX<float>/PI/24 -1.83234 -1.834 -6.15878
Identity<float>/PI/24 7.66939 7.66915 -18.6499
IsingXY<float>/PI/24 0.116171 0.111617 -7.27124
CSWAP<float>/PI/24 0.374604 0.389639 -7.22012
CZ<float>/PI/24 -2.66004 -2.65796 -1.78258
Toffoli<float>/PI/24 3.9827 3.97483 -9.62909
SWAP<float>/PI/24 0.965393 0.92605 -6.80007
CNOT<float>/PI/24 1.45014 1.46517 -6.91673
CY<float>/PI/24 -7.22467 -7.24584 4.19967
RZ<float>/PI/24 66.8717 66.8776 -165.403
Rot<float>/PI/24 75.6467 75.6463 -224.112
RX<float>/PI/24 -4.05925 -4.04512 1.89745
RY<float>/PI/24 3.72099 3.73017 3.10661
T<float>/PI/24 52.4704 52.4624 -92.114
PhaseShift<float>/PI/24 52.138 52.1384 -90.4643
IsingXX<float>/PI/24 0.874242 0.873684 -9.59904
IsingZZ<float>/PI/24 73.2656 73.2663 -173.087
DoubleExcitationPlus<float>/PI/24 75.6371 75.6365 -169.572
PauliZ<float>/PI/24 -5.3482 -5.34691 3.16037
Hadamard<float>/PI/24 -5.69818 -5.69507 0.207152
MultiRZ<float>/PI/24/2 21.0771 21.1171 -15.4211
MultiRZ<float>/PI/24/4 23.6112 23.6033 -15.5896
ControlledPhaseShift<float>/PI/24 49.1562 49.1376 -65.5482
DoubleExcitation<float>/PI/24 -9.78058 -9.79713 -3.07512
DoubleExcitationMinus<float>/PI/24 73.4679 73.4671 -168.639
PauliY<float>/PI/24 -11.8866 -11.8845 7.00862
IsingYY<float>/PI/24 0.698991 0.693869 -7.46964
CRot<float>/PI/24 74.0725 74.0748 -156.945
