```
$ ./bin/bench_kernels 
2023-01-11T22:19:47+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 5.90, 5.86, 5.84
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        3580 ns         3580 ns       204029
GeneratorRY<float>/AVX512/8                        4218 ns         4218 ns       166955
GeneratorRY<float>/AVX512/10                      10873 ns        10873 ns        64406
GeneratorRY<float>/AVX512/12                      28321 ns        28317 ns        24872
GeneratorRY<float>/AVX512/14                     129915 ns       129893 ns         5107
GeneratorRY<float>/AVX512/16                     426314 ns       426230 ns         1874
GeneratorRY<float>/AVX512/18                    3199052 ns      3198815 ns          211
GeneratorRY<float>/AVX512/20                   13819777 ns     13819261 ns           48
GeneratorRY<float>/AVX512/22                  101243178 ns    101242257 ns            7
GeneratorRY<float>/AVX512/24                  484639832 ns    484601046 ns            2
GeneratorRZ<float>/AVX512/6                        3582 ns         3582 ns       198002
GeneratorRZ<float>/AVX512/8                        6584 ns         6583 ns       106654
GeneratorRZ<float>/AVX512/10                       9567 ns         9566 ns        72306
GeneratorRZ<float>/AVX512/12                      22384 ns        22383 ns        31161
GeneratorRZ<float>/AVX512/14                      87780 ns        87780 ns         7999
GeneratorRZ<float>/AVX512/16                     366942 ns       366921 ns         2033
GeneratorRZ<float>/AVX512/18                    2280698 ns      2280601 ns          311
GeneratorRZ<float>/AVX512/20                   10258208 ns     10257594 ns           69
GeneratorRZ<float>/AVX512/22                   80039758 ns     80029466 ns            9
GeneratorRZ<float>/AVX512/24                  347096677 ns    347051989 ns            2
GeneratorRX<float>/AVX512/6                        3502 ns         3502 ns       195283
GeneratorRX<float>/AVX512/8                        4262 ns         4262 ns       169797
GeneratorRX<float>/AVX512/10                       6164 ns         6164 ns       114322
GeneratorRX<float>/AVX512/12                      15115 ns        15115 ns        46536
GeneratorRX<float>/AVX512/14                      86015 ns        86015 ns         8128
GeneratorRX<float>/AVX512/16                     344527 ns       344528 ns         2029
GeneratorRX<float>/AVX512/18                    3107041 ns      3106807 ns          223
GeneratorRX<float>/AVX512/20                   13633419 ns     13631884 ns           51
GeneratorRX<float>/AVX512/22                  101945586 ns    101945747 ns            7
GeneratorRX<float>/AVX512/24                  483772767 ns    483757161 ns            2
PauliY<float>/AVX512/6                             4000 ns         4000 ns       175491
PauliY<float>/AVX512/8                             4688 ns         4688 ns       154628
PauliY<float>/AVX512/10                           11605 ns        11603 ns        60681
PauliY<float>/AVX512/12                           28939 ns        28937 ns        24306
PauliY<float>/AVX512/14                          135967 ns       135967 ns         5411
PauliY<float>/AVX512/16                          478773 ns       478762 ns         1516
PauliY<float>/AVX512/18                         3152763 ns      3152483 ns          220
PauliY<float>/AVX512/20                        13845042 ns     13844632 ns           51
PauliY<float>/AVX512/22                        99422702 ns     99413956 ns            7
PauliY<float>/AVX512/24                       473035223 ns    473007575 ns            2
PauliZ<float>/AVX512/6                             3668 ns         3668 ns       190452
PauliZ<float>/AVX512/8                             6901 ns         6900 ns       103969
PauliZ<float>/AVX512/10                           10304 ns        10303 ns        61595
PauliZ<float>/AVX512/12                           25898 ns        25895 ns        27438
PauliZ<float>/AVX512/14                          102610 ns       102610 ns         6758
PauliZ<float>/AVX512/16                          406829 ns       406813 ns         1867
PauliZ<float>/AVX512/18                         2205242 ns      2204964 ns          319
PauliZ<float>/AVX512/20                         9115659 ns      9115155 ns           79
PauliZ<float>/AVX512/22                        76641527 ns     76638052 ns            9
PauliZ<float>/AVX512/24                       345819949 ns    345801715 ns            2
PauliX<float>/AVX512/6                             3696 ns         3695 ns       191239
PauliX<float>/AVX512/8                             4240 ns         4239 ns       165278
PauliX<float>/AVX512/10                            6376 ns         6376 ns       110811
PauliX<float>/AVX512/12                           15275 ns        15274 ns        45073
PauliX<float>/AVX512/14                           85700 ns        85695 ns         8066
PauliX<float>/AVX512/16                          339841 ns       339807 ns         2053
PauliX<float>/AVX512/18                         3138457 ns      3138227 ns          223
PauliX<float>/AVX512/20                        13494293 ns     13492681 ns           52
PauliX<float>/AVX512/22                        97868440 ns     97860797 ns            7
PauliX<float>/AVX512/24                       474970654 ns    474929932 ns            2
T<float>/AVX512/6                                  3736 ns         3735 ns       192075
T<float>/AVX512/8                                  6988 ns         6987 ns        95955
T<float>/AVX512/10                                10488 ns        10488 ns        66181
T<float>/AVX512/12                                26545 ns        26542 ns        27130
T<float>/AVX512/14                               101976 ns       101966 ns         7231
T<float>/AVX512/16                               384148 ns       384092 ns         1755
T<float>/AVX512/18                              2571687 ns      2571364 ns          294
T<float>/AVX512/20                             10599480 ns     10597762 ns           71
T<float>/AVX512/22                             80279120 ns     80270428 ns            9
T<float>/AVX512/24                            377104267 ns    377085158 ns            2
Hadamard<float>/AVX512/6                           3563 ns         3563 ns       149925
Hadamard<float>/AVX512/8                           6934 ns         6933 ns        89304
Hadamard<float>/AVX512/10                        117048 ns       117043 ns        10000
Hadamard<float>/AVX512/12                        324545 ns       324519 ns        13017
Hadamard<float>/AVX512/14                       1151334 ns      1151289 ns         1000
Hadamard<float>/AVX512/16                       3007959 ns      3007788 ns          576
Hadamard<float>/AVX512/18                       6018464 ns      6018196 ns          100
Hadamard<float>/AVX512/20                      24909053 ns     24905925 ns           36
Hadamard<float>/AVX512/22                     115011245 ns    114998982 ns            6
Hadamard<float>/AVX512/24                     534988219 ns    534917091 ns            1
S<float>/AVX512/6                                  3817 ns         3817 ns       190146
S<float>/AVX512/8                                  4199 ns         4199 ns       165079
S<float>/AVX512/10                                 9731 ns         9731 ns        71554
S<float>/AVX512/12                                22785 ns        22783 ns        30588
S<float>/AVX512/14                                89761 ns        89752 ns         7899
S<float>/AVX512/16                               343451 ns       343425 ns         1905
S<float>/AVX512/18                              1820961 ns      1820616 ns          345
S<float>/AVX512/20                              9372883 ns      9371832 ns           77
S<float>/AVX512/22                             77763585 ns     77750821 ns            9
S<float>/AVX512/24                            347778298 ns    347732296 ns            2
IsingYY<float>/AVX512/6                            4336 ns         4335 ns       160834
IsingYY<float>/AVX512/8                            8621 ns         8621 ns        83359
IsingYY<float>/AVX512/10                          13208 ns        13207 ns        53615
IsingYY<float>/AVX512/12                          33924 ns        33923 ns        20527
IsingYY<float>/AVX512/14                         140443 ns       140431 ns         4984
IsingYY<float>/AVX512/16                         555846 ns       555802 ns         1256
IsingYY<float>/AVX512/18                        3927971 ns      3927754 ns          176
IsingYY<float>/AVX512/20                       17506373 ns     17504043 ns           41
IsingYY<float>/AVX512/22                      117266117 ns    117251162 ns            6
IsingYY<float>/AVX512/24                      537880830 ns    537736683 ns            1
RZ<float>/AVX512/6                                 4061 ns         4061 ns       167420
RZ<float>/AVX512/8                                 8037 ns         8037 ns        88509
RZ<float>/AVX512/10                               12681 ns        12680 ns        54895
RZ<float>/AVX512/12                               33675 ns        33675 ns        19797
RZ<float>/AVX512/14                              140140 ns       140139 ns         5039
RZ<float>/AVX512/16                              547127 ns       547127 ns         1284
RZ<float>/AVX512/18                             3919973 ns      3919976 ns          179
RZ<float>/AVX512/20                            16831016 ns     16830057 ns           42
RZ<float>/AVX512/22                           110543956 ns    110540763 ns            6
RZ<float>/AVX512/24                           523570603 ns    523571423 ns            1
Rot<float>/AVX512/6                               16262 ns        16260 ns        43244
Rot<float>/AVX512/8                               18278 ns        18276 ns        38888
Rot<float>/AVX512/10                              27171 ns        27170 ns        25844
Rot<float>/AVX512/12                              64643 ns        64637 ns        10818
Rot<float>/AVX512/14                             213257 ns       213249 ns         3341
Rot<float>/AVX512/16                             792354 ns       792287 ns          817
Rot<float>/AVX512/18                            4231035 ns      4230686 ns          166
Rot<float>/AVX512/20                           18271769 ns     18267300 ns           39
Rot<float>/AVX512/22                          118907975 ns    118889019 ns            6
