```
$ ./benchmark_all.sh
2023-01-01T19:38:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.64, 1.64, 1.47
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        3552 ns         3552 ns       199456
GeneratorRY<float>/AVX512/8                        4278 ns         4278 ns       162298
GeneratorRY<float>/AVX512/10                      11322 ns        11320 ns        61888
GeneratorRY<float>/AVX512/12                      28866 ns        28862 ns        24310
GeneratorRY<float>/AVX512/14                     144650 ns       144631 ns         5059
GeneratorRY<float>/AVX512/16                     498500 ns       498493 ns         1559
GeneratorRY<float>/AVX512/18                    3149120 ns      3149083 ns          218
GeneratorRY<float>/AVX512/20                   14261444 ns     14258894 ns           46
GeneratorRY<float>/AVX512/22                  110621887 ns    110601823 ns            6
GeneratorRY<float>/AVX512/24                  509250874 ns    509176345 ns            1
GeneratorRZ<float>/AVX512/6                        3638 ns         3637 ns       196174
GeneratorRZ<float>/AVX512/8                        6770 ns         6770 ns       101936
GeneratorRZ<float>/AVX512/10                       9661 ns         9661 ns        71041
GeneratorRZ<float>/AVX512/12                      22133 ns        22130 ns        31389
GeneratorRZ<float>/AVX512/14                      97893 ns        97884 ns         7002
GeneratorRZ<float>/AVX512/16                     333555 ns       333515 ns         2048
GeneratorRZ<float>/AVX512/18                    1930110 ns      1930065 ns          284
GeneratorRZ<float>/AVX512/20                   10055084 ns     10053703 ns           65
GeneratorRZ<float>/AVX512/22                   79168400 ns     79157379 ns            8
GeneratorRZ<float>/AVX512/24                  344147649 ns    344132741 ns            2
GeneratorRX<float>/AVX512/6                        3555 ns         3555 ns       199590
GeneratorRX<float>/AVX512/8                        4080 ns         4080 ns       172272
GeneratorRX<float>/AVX512/10                       6091 ns         6091 ns       112219
GeneratorRX<float>/AVX512/12                      14939 ns        14939 ns        47019
GeneratorRX<float>/AVX512/14                      87282 ns        87270 ns         8154
GeneratorRX<float>/AVX512/16                     346795 ns       346777 ns         2015
GeneratorRX<float>/AVX512/18                    3115549 ns      3115152 ns          224
GeneratorRX<float>/AVX512/20                   13786864 ns     13786889 ns           51
GeneratorRX<float>/AVX512/22                  102565434 ns    102447515 ns            7
GeneratorRX<float>/AVX512/24                  482320426 ns    482279524 ns            2
PauliY<float>/AVX512/6                             4085 ns         4085 ns       172873
PauliY<float>/AVX512/8                             4653 ns         4653 ns       149758
PauliY<float>/AVX512/10                           11588 ns        11587 ns        60210
PauliY<float>/AVX512/12                           29185 ns        29184 ns        23991
PauliY<float>/AVX512/14                          138573 ns       138546 ns         5134
PauliY<float>/AVX512/16                          520067 ns       520033 ns         1000
PauliY<float>/AVX512/18                         3140424 ns      3140024 ns          222
PauliY<float>/AVX512/20                        13910136 ns     13909404 ns           50
PauliY<float>/AVX512/22                       101952633 ns    101942435 ns            7
PauliY<float>/AVX512/24                       483027047 ns    483012036 ns            2
PauliZ<float>/AVX512/6                             3643 ns         3643 ns       191019
PauliZ<float>/AVX512/8                             6738 ns         6738 ns       104083
PauliZ<float>/AVX512/10                            9435 ns         9434 ns        74805
PauliZ<float>/AVX512/12                           22327 ns        22326 ns        32163
PauliZ<float>/AVX512/14                           89982 ns        89979 ns         7449
PauliZ<float>/AVX512/16                          374990 ns       374954 ns         2041
PauliZ<float>/AVX512/18                         2375522 ns      2375059 ns          303
PauliZ<float>/AVX512/20                         9447924 ns      9447829 ns           83
PauliZ<float>/AVX512/22                        81849319 ns     81842167 ns            9
PauliZ<float>/AVX512/24                       378197347 ns    378184591 ns            2
PauliX<float>/AVX512/6                             3709 ns         3709 ns       188824
PauliX<float>/AVX512/8                             4218 ns         4218 ns       166098
PauliX<float>/AVX512/10                            6382 ns         6382 ns       108333
PauliX<float>/AVX512/12                           14947 ns        14947 ns        46235
PauliX<float>/AVX512/14                           86394 ns        86389 ns         8082
PauliX<float>/AVX512/16                          353864 ns       353848 ns         2005
PauliX<float>/AVX512/18                         3179092 ns      3178887 ns          222
PauliX<float>/AVX512/20                        13933829 ns     13932880 ns           49
PauliX<float>/AVX512/22                       103985505 ns    103975451 ns            6
PauliX<float>/AVX512/24                       498129329 ns    498053699 ns            2
T<float>/AVX512/6                                  3811 ns         3810 ns       186699
T<float>/AVX512/8                                  7361 ns         7360 ns        94647
T<float>/AVX512/10                                12234 ns        12233 ns        57693
T<float>/AVX512/12                                32612 ns        32609 ns        21591
T<float>/AVX512/14                               115022 ns       115022 ns         6040
T<float>/AVX512/16                               441490 ns       441378 ns         1523
T<float>/AVX512/18                              2332608 ns      2332311 ns          297
T<float>/AVX512/20                             10567513 ns     10566540 ns           69
T<float>/AVX512/22                             85202325 ns     85202482 ns            8
T<float>/AVX512/24                            376670338 ns    376581744 ns            2
Hadamard<float>/AVX512/6                           3841 ns         3841 ns       162407
Hadamard<float>/AVX512/8                          13612 ns        13611 ns        97785
Hadamard<float>/AVX512/10                        103258 ns       103246 ns        14074
Hadamard<float>/AVX512/12                        203748 ns       203732 ns        18730
Hadamard<float>/AVX512/14                        370640 ns       370610 ns         3742
Hadamard<float>/AVX512/16                       1650835 ns      1650757 ns          422
Hadamard<float>/AVX512/18                       4988291 ns      4987174 ns          137
Hadamard<float>/AVX512/20                      27910164 ns     27907553 ns           38
Hadamard<float>/AVX512/22                     114425841 ns    114406239 ns            6
Hadamard<float>/AVX512/24                     542484665 ns    542460273 ns            1
S<float>/AVX512/6                                  3672 ns         3671 ns       190444
S<float>/AVX512/8                                  4299 ns         4299 ns       156079
S<float>/AVX512/10                                10822 ns        10821 ns        65202
S<float>/AVX512/12                                27230 ns        27228 ns        25613
S<float>/AVX512/14                               100408 ns       100391 ns         7222
S<float>/AVX512/16                               373856 ns       373836 ns         1775
S<float>/AVX512/18                              1643470 ns      1643071 ns          375
S<float>/AVX512/20                              9514003 ns      9513120 ns           80
S<float>/AVX512/22                             88576081 ns     88568549 ns            8
S<float>/AVX512/24                            347296342 ns    347240490 ns            2
IsingYY<float>/AVX512/6                            4293 ns         4292 ns       161224
IsingYY<float>/AVX512/8                            8408 ns         8407 ns        84159
IsingYY<float>/AVX512/10                          12916 ns        12916 ns        54695
IsingYY<float>/AVX512/12                          33471 ns        33465 ns        20983
IsingYY<float>/AVX512/14                         144875 ns       144871 ns         4854
IsingYY<float>/AVX512/16                         565108 ns       565000 ns         1209
IsingYY<float>/AVX512/18                        3981915 ns      3981493 ns          177
IsingYY<float>/AVX512/20                       17318453 ns     17318295 ns           41
IsingYY<float>/AVX512/22                      115507975 ns    115508179 ns            6
IsingYY<float>/AVX512/24                      529181132 ns    529104680 ns            1
RZ<float>/AVX512/6                                 4079 ns         4078 ns       167820
RZ<float>/AVX512/8                                 7859 ns         7859 ns        87185
RZ<float>/AVX512/10                               12716 ns        12716 ns        54750
RZ<float>/AVX512/12                               33080 ns        33079 ns        20994
RZ<float>/AVX512/14                              142417 ns       142412 ns         4989
RZ<float>/AVX512/16                              561773 ns       561736 ns         1237
RZ<float>/AVX512/18                             3994560 ns      3994194 ns          178
RZ<float>/AVX512/20                            17016559 ns     17013792 ns           41
RZ<float>/AVX512/22                           112172848 ns    112146835 ns            6
RZ<float>/AVX512/24                           519357551 ns    519347249 ns            1
Rot<float>/AVX512/6                               16020 ns        16017 ns        43142
Rot<float>/AVX512/8                               18437 ns        18436 ns        38443
Rot<float>/AVX512/10                              26903 ns        26899 ns        25512
Rot<float>/AVX512/12                              65143 ns        65136 ns        10740
Rot<float>/AVX512/14                             211621 ns       211604 ns         3266
Rot<float>/AVX512/16                             798512 ns       798486 ns          879
Rot<float>/AVX512/18                            4364797 ns      4364467 ns          165
Rot<float>/AVX512/20                           17960584 ns     17956424 ns           38
Rot<float>/AVX512/22                          120749861 ns    120743767 ns            6
Rot<float>/AVX512/24                          540023126 ns    539999231 ns            1
RX<float>/AVX512/6                                 4118 ns         4117 ns       169896
RX<float>/AVX512/8                                 7988 ns         7987 ns        86682
RX<float>/AVX512/10                               13110 ns        13109 ns        53875
RX<float>/AVX512/12                               35007 ns        35002 ns        19981
RX<float>/AVX512/14                              148910 ns       148898 ns         4720
RX<float>/AVX512/16                              594632 ns       594620 ns         1184
RX<float>/AVX512/18                             4130256 ns      4130262 ns          169
RX<float>/AVX512/20                            17833136 ns     17833171 ns           40
RX<float>/AVX512/22                           119777154 ns    119774155 ns            6
RX<float>/AVX512/24                           548391478 ns    548334174 ns            1
RY<float>/AVX512/6                                 4241 ns         4240 ns       165148
RY<float>/AVX512/8                                 8099 ns         8098 ns        86394
RY<float>/AVX512/10                               13024 ns        13024 ns        53532
RY<float>/AVX512/12                               31988 ns        31988 ns        21241
RY<float>/AVX512/14                              147434 ns       147418 ns         4714
RY<float>/AVX512/16                              588712 ns       588654 ns         1186
RY<float>/AVX512/18                             4095469 ns      4095063 ns          170
RY<float>/AVX512/20                            17614642 ns     17614671 ns           40
RY<float>/AVX512/22                           115478421 ns    115475474 ns            6
RY<float>/AVX512/24                           540319396 ns    540237257 ns            1
CZ<float>/AVX512/6                                 3903 ns         3903 ns       181744
CZ<float>/AVX512/8                                 6871 ns         6871 ns        97862
CZ<float>/AVX512/10                                9884 ns         9883 ns        71870
CZ<float>/AVX512/12                               20732 ns        20732 ns        32355
CZ<float>/AVX512/14                               68260 ns        68251 ns        10364
CZ<float>/AVX512/16                              267741 ns       267714 ns         2854
CZ<float>/AVX512/18                             1458704 ns      1458613 ns          470
CZ<float>/AVX512/20                             7154943 ns      7153972 ns           94
CZ<float>/AVX512/22                            62139144 ns     62135941 ns           11
CZ<float>/AVX512/24                           281467586 ns    281446335 ns            3
SWAP<float>/AVX512/6                               4199 ns         4199 ns       165174
SWAP<float>/AVX512/8                               4721 ns         4721 ns       150740
SWAP<float>/AVX512/10                              6691 ns         6690 ns        99336
SWAP<float>/AVX512/12                             14601 ns        14600 ns        46566
SWAP<float>/AVX512/14                             74144 ns        74143 ns         9826
SWAP<float>/AVX512/16                            266331 ns       266327 ns         2831
SWAP<float>/AVX512/18                           2044392 ns      2044267 ns          350
SWAP<float>/AVX512/20                           9562414 ns      9561479 ns           66
