```
$ ./bin/bench_kernels
2023-01-04T07:59:56+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.69, 0.60, 0.70
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        3563 ns         3563 ns       195864
GeneratorRY<float>/AVX512/8                        4268 ns         4268 ns       161856
GeneratorRY<float>/AVX512/10                      10916 ns        10916 ns        64167
GeneratorRY<float>/AVX512/12                      28050 ns        28050 ns        24742
GeneratorRY<float>/AVX512/14                     140983 ns       140971 ns         5554
GeneratorRY<float>/AVX512/16                     469954 ns       469903 ns         1421
GeneratorRY<float>/AVX512/18                    3184165 ns      3183803 ns          218
GeneratorRY<float>/AVX512/20                   13951648 ns     13951170 ns           47
GeneratorRY<float>/AVX512/22                  103880032 ns    103870497 ns            7
GeneratorRY<float>/AVX512/24                  506815858 ns    506782491 ns            2
GeneratorRZ<float>/AVX512/6                        3601 ns         3600 ns       192618
GeneratorRZ<float>/AVX512/8                        6801 ns         6801 ns       103151
GeneratorRZ<float>/AVX512/10                       9419 ns         9419 ns        73278
GeneratorRZ<float>/AVX512/12                      21409 ns        21407 ns        31750
GeneratorRZ<float>/AVX512/14                      99473 ns        99468 ns         7675
GeneratorRZ<float>/AVX512/16                     358738 ns       358687 ns         1888
GeneratorRZ<float>/AVX512/18                    2480668 ns      2480025 ns          264
GeneratorRZ<float>/AVX512/20                   11008071 ns     11005919 ns           65
GeneratorRZ<float>/AVX512/22                   78861120 ns     78854839 ns            9
GeneratorRZ<float>/AVX512/24                  394002448 ns    393900689 ns            2
GeneratorRX<float>/AVX512/6                        3666 ns         3665 ns       187972
GeneratorRX<float>/AVX512/8                        4257 ns         4256 ns       166467
GeneratorRX<float>/AVX512/10                       6286 ns         6286 ns       110760
GeneratorRX<float>/AVX512/12                      15188 ns        15186 ns        47342
GeneratorRX<float>/AVX512/14                      87999 ns        88000 ns         7948
GeneratorRX<float>/AVX512/16                     350821 ns       350810 ns         1982
GeneratorRX<float>/AVX512/18                    3178088 ns      3177921 ns          219
GeneratorRX<float>/AVX512/20                   14041403 ns     14040057 ns           50
GeneratorRX<float>/AVX512/22                  105059453 ns    105046462 ns            6
GeneratorRX<float>/AVX512/24                  509627713 ns    509534234 ns            1
PauliY<float>/AVX512/6                             4084 ns         4083 ns       172936
PauliY<float>/AVX512/8                             5721 ns         5721 ns       122059
PauliY<float>/AVX512/10                           11698 ns        11697 ns        59850
PauliY<float>/AVX512/12                           29433 ns        29432 ns        23480
PauliY<float>/AVX512/14                          143159 ns       143151 ns         4900
PauliY<float>/AVX512/16                          459953 ns       459912 ns         1485
PauliY<float>/AVX512/18                         3184098 ns      3183605 ns          221
PauliY<float>/AVX512/20                        13996880 ns     13995456 ns           49
PauliY<float>/AVX512/22                       104043369 ns    104038757 ns            7
PauliY<float>/AVX512/24                       493255216 ns    493241944 ns            2
PauliZ<float>/AVX512/6                             3791 ns         3790 ns       186527
PauliZ<float>/AVX512/8                             7058 ns         7057 ns        99274
PauliZ<float>/AVX512/10                            9551 ns         9550 ns        72729
PauliZ<float>/AVX512/12                           22106 ns        22106 ns        31063
PauliZ<float>/AVX512/14                           95544 ns        95536 ns         7025
PauliZ<float>/AVX512/16                          364853 ns       364821 ns         1808
PauliZ<float>/AVX512/18                         2325037 ns      2324894 ns          296
PauliZ<float>/AVX512/20                         9385940 ns      9384398 ns           65
PauliZ<float>/AVX512/22                        85238310 ns     85215001 ns            9
PauliZ<float>/AVX512/24                       367629428 ns    367545657 ns            2
PauliX<float>/AVX512/6                             3820 ns         3820 ns       183450
PauliX<float>/AVX512/8                             4449 ns         4448 ns       158988
PauliX<float>/AVX512/10                            6388 ns         6388 ns       110110
PauliX<float>/AVX512/12                           15316 ns        15315 ns        46878
PauliX<float>/AVX512/14                           88303 ns        88298 ns         8017
PauliX<float>/AVX512/16                          348521 ns       348448 ns         2016
PauliX<float>/AVX512/18                         3162690 ns      3162173 ns          222
PauliX<float>/AVX512/20                        13862827 ns     13860258 ns           51
PauliX<float>/AVX512/22                       102217700 ns    102192970 ns            7
PauliX<float>/AVX512/24                       495474545 ns    495376121 ns            2
T<float>/AVX512/6                                  3776 ns         3775 ns       183839
T<float>/AVX512/8                                  7354 ns         7353 ns        94935
T<float>/AVX512/10                                12131 ns        12130 ns        59435
T<float>/AVX512/12                                32298 ns        32294 ns        22341
T<float>/AVX512/14                               117312 ns       117298 ns         6151
T<float>/AVX512/16                               440675 ns       440605 ns         1582
T<float>/AVX512/18                              2252263 ns      2251883 ns          337
T<float>/AVX512/20                             10438128 ns     10435311 ns           65
T<float>/AVX512/22                             82843078 ns     82817249 ns            8
T<float>/AVX512/24                            366637513 ns    366572661 ns            2
Hadamard<float>/AVX512/6                           4476 ns         4476 ns       184614
Hadamard<float>/AVX512/8                          15206 ns        15204 ns        49093
Hadamard<float>/AVX512/10                         20806 ns        20804 ns        30423
Hadamard<float>/AVX512/12                        179122 ns       179109 ns         4851
Hadamard<float>/AVX512/14                       1311891 ns      1311689 ns         4883
Hadamard<float>/AVX512/16                        931155 ns       931107 ns         1212
Hadamard<float>/AVX512/18                       8446419 ns      8445345 ns          161
Hadamard<float>/AVX512/20                      17376585 ns     17375775 ns           40
Hadamard<float>/AVX512/22                     121071029 ns    121046634 ns            6
Hadamard<float>/AVX512/24                     541762365 ns    541735742 ns            1
S<float>/AVX512/6                                  3786 ns         3785 ns       188249
S<float>/AVX512/8                                  6180 ns         6179 ns       128589
S<float>/AVX512/10                                11102 ns        11101 ns        63029
S<float>/AVX512/12                                27558 ns        27556 ns        25749
S<float>/AVX512/14                               102057 ns       102049 ns         6574
S<float>/AVX512/16                               401933 ns       401881 ns         1814
S<float>/AVX512/18                              1979794 ns      1979337 ns          361
S<float>/AVX512/20                              9527095 ns      9525618 ns           72
S<float>/AVX512/22                             77921567 ns     77907088 ns            9
S<float>/AVX512/24                            369307320 ns    368814962 ns            2
IsingYY<float>/AVX512/6                            4512 ns         4511 ns       156582
IsingYY<float>/AVX512/8                            8680 ns         8679 ns        80683
IsingYY<float>/AVX512/10                          13400 ns        13397 ns        52553
IsingYY<float>/AVX512/12                          34227 ns        34225 ns        20423
IsingYY<float>/AVX512/14                         147975 ns       147966 ns         4761
IsingYY<float>/AVX512/16                         584072 ns       584023 ns         1190
IsingYY<float>/AVX512/18                        4068170 ns      4067240 ns          171
IsingYY<float>/AVX512/20                       17817985 ns     17816241 ns           39
IsingYY<float>/AVX512/22                      117641908 ns    117628618 ns            6
IsingYY<float>/AVX512/24                      534941422 ns    534842711 ns            1
RZ<float>/AVX512/6                                 4167 ns         4167 ns       168521
RZ<float>/AVX512/8                                 8112 ns         8111 ns        86823
RZ<float>/AVX512/10                               12715 ns        12713 ns        55428
RZ<float>/AVX512/12                               33182 ns        33177 ns        21036
RZ<float>/AVX512/14                              143098 ns       143090 ns         4835
RZ<float>/AVX512/16                              563843 ns       563733 ns         1241
RZ<float>/AVX512/18                             4029686 ns      4029425 ns          172
RZ<float>/AVX512/20                            17539033 ns     17536820 ns           40
RZ<float>/AVX512/22                           117406504 ns    117375550 ns            6
RZ<float>/AVX512/24                           532957235 ns    532855703 ns            1
Rot<float>/AVX512/6                               16311 ns        16309 ns        42665
Rot<float>/AVX512/8                               18634 ns        18631 ns        37609
Rot<float>/AVX512/10                              28115 ns        28112 ns        24623
Rot<float>/AVX512/12                              67673 ns        67667 ns        10493
Rot<float>/AVX512/14                             218536 ns       218499 ns         3220
Rot<float>/AVX512/16                             829284 ns       829194 ns          832
Rot<float>/AVX512/18                            4417686 ns      4416889 ns          159
Rot<float>/AVX512/20                           19102439 ns     19100906 ns           37
Rot<float>/AVX512/22                          122489714 ns    122466829 ns            6
Rot<float>/AVX512/24                          548542725 ns    548480478 ns            1
RX<float>/AVX512/6                                 4124 ns         4124 ns       169334
RX<float>/AVX512/8                                 8145 ns         8145 ns        85111
RX<float>/AVX512/10                               13020 ns        13019 ns        54606
RX<float>/AVX512/12                               33727 ns        33723 ns        20607
RX<float>/AVX512/14                              144313 ns       144294 ns         4791
RX<float>/AVX512/16                              570944 ns       570883 ns         1240
RX<float>/AVX512/18                             4072836 ns      4072229 ns          172
RX<float>/AVX512/20                            17582411 ns     17580341 ns           40
RX<float>/AVX512/22                           117888638 ns    117865533 ns            6
RX<float>/AVX512/24                           537300292 ns    537209162 ns            1
RY<float>/AVX512/6                                 4103 ns         4103 ns       171604
RY<float>/AVX512/8                                 8036 ns         8036 ns        88048
RY<float>/AVX512/10                               12313 ns        12312 ns        56704
RY<float>/AVX512/12                               31045 ns        31042 ns        21482
RY<float>/AVX512/14                              144436 ns       144406 ns         4828
RY<float>/AVX512/16                              571737 ns       571706 ns         1232
RY<float>/AVX512/18                             4076001 ns      4075724 ns          171
RY<float>/AVX512/20                            17707963 ns     17705371 ns           40
RY<float>/AVX512/22                           120760230 ns    120742500 ns            6
RY<float>/AVX512/24                           554992780 ns    554957845 ns            1
CZ<float>/AVX512/6                                 3830 ns         3830 ns       182074
CZ<float>/AVX512/8                                 6125 ns         6123 ns       101029
CZ<float>/AVX512/10                                9941 ns         9940 ns        74123
CZ<float>/AVX512/12                               20711 ns        20709 ns        34463
CZ<float>/AVX512/14                               63454 ns        63451 ns        10787
CZ<float>/AVX512/16                              239550 ns       239541 ns         2783
CZ<float>/AVX512/18                             1317055 ns      1316925 ns          481
CZ<float>/AVX512/20                             7101981 ns      7100761 ns           90
CZ<float>/AVX512/22                            65855721 ns     65843911 ns           11
CZ<float>/AVX512/24                           290612536 ns    290563518 ns            3
SWAP<float>/AVX512/6                               4164 ns         4164 ns       169080
SWAP<float>/AVX512/8                               4719 ns         4718 ns       149636
SWAP<float>/AVX512/10                              6615 ns         6614 ns       108682
SWAP<float>/AVX512/12                             15361 ns        15360 ns        45269
SWAP<float>/AVX512/14                             63515 ns        63505 ns        11839
SWAP<float>/AVX512/16                            234488 ns       234457 ns         2757
SWAP<float>/AVX512/18                           1908996 ns      1908794 ns          335
SWAP<float>/AVX512/20                           9901324 ns      9900344 ns           74
