```
$ docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-02T06:59:47+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.00, 0.63, 0.57
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        4433 ns         4433 ns       155085
GeneratorRY<float>/AVX512/8                        5315 ns         5315 ns       136292
GeneratorRY<float>/AVX512/10                      12564 ns        12565 ns        55074
GeneratorRY<float>/AVX512/12                      31032 ns        31030 ns        23208
GeneratorRY<float>/AVX512/14                     136897 ns       136896 ns         4819
GeneratorRY<float>/AVX512/16                     472090 ns       472034 ns         1593
GeneratorRY<float>/AVX512/18                    3266193 ns      3266022 ns          218
GeneratorRY<float>/AVX512/20                   13793189 ns     13792551 ns           47
GeneratorRY<float>/AVX512/22                  103631431 ns    103626142 ns            6
GeneratorRY<float>/AVX512/24                  490459526 ns    490436107 ns            2
GeneratorRZ<float>/AVX512/6                        4362 ns         4361 ns       157000
GeneratorRZ<float>/AVX512/8                        7888 ns         7887 ns        85242
GeneratorRZ<float>/AVX512/10                      10329 ns        10328 ns        63752
GeneratorRZ<float>/AVX512/12                      24345 ns        24345 ns        29227
GeneratorRZ<float>/AVX512/14                      93884 ns        93879 ns         7013
GeneratorRZ<float>/AVX512/16                     358110 ns       358055 ns         2025
GeneratorRZ<float>/AVX512/18                    2312259 ns      2311760 ns          290
GeneratorRZ<float>/AVX512/20                    9713441 ns      9712180 ns           72
GeneratorRZ<float>/AVX512/22                   77018492 ns     77008966 ns            9
GeneratorRZ<float>/AVX512/24                  393378558 ns    393008190 ns            2
GeneratorRX<float>/AVX512/6                        4320 ns         4319 ns       161650
GeneratorRX<float>/AVX512/8                        4979 ns         4978 ns       140226
GeneratorRX<float>/AVX512/10                       7133 ns         7133 ns        98232
GeneratorRX<float>/AVX512/12                      16252 ns        16251 ns        41661
GeneratorRX<float>/AVX512/14                      89039 ns        89036 ns         7745
GeneratorRX<float>/AVX512/16                     351959 ns       351911 ns         1982
GeneratorRX<float>/AVX512/18                    3196548 ns      3196065 ns          215
GeneratorRX<float>/AVX512/20                   13609625 ns     13608199 ns           52
GeneratorRX<float>/AVX512/22                   98898344 ns     98893736 ns            7
GeneratorRX<float>/AVX512/24                  475982528 ns    475909423 ns            2
PauliY<float>/AVX512/6                             4704 ns         4703 ns       147301
PauliY<float>/AVX512/8                             5385 ns         5384 ns       129747
PauliY<float>/AVX512/10                           12663 ns        12662 ns        55875
PauliY<float>/AVX512/12                           29852 ns        29851 ns        23509
PauliY<float>/AVX512/14                          126726 ns       126717 ns         5458
PauliY<float>/AVX512/16                          430842 ns       430774 ns         1736
PauliY<float>/AVX512/18                         3251012 ns      3250197 ns          217
PauliY<float>/AVX512/20                        13899444 ns     13898914 ns           51
PauliY<float>/AVX512/22                        99936419 ns     99930914 ns            7
PauliY<float>/AVX512/24                       481354717 ns    481304129 ns            2
PauliZ<float>/AVX512/6                             4482 ns         4482 ns       156853
PauliZ<float>/AVX512/8                             8088 ns         8088 ns        87164
PauliZ<float>/AVX512/10                           11224 ns        11223 ns        62895
PauliZ<float>/AVX512/12                           23787 ns        23787 ns        29804
PauliZ<float>/AVX512/14                           93075 ns        93073 ns         7891
PauliZ<float>/AVX512/16                          340498 ns       340468 ns         1955
PauliZ<float>/AVX512/18                         1912635 ns      1912416 ns          284
PauliZ<float>/AVX512/20                         9907610 ns      9906007 ns           63
PauliZ<float>/AVX512/22                        85325823 ns     85319109 ns            8
PauliZ<float>/AVX512/24                       333936108 ns    333885565 ns            2
PauliX<float>/AVX512/6                             4503 ns         4502 ns       152682
PauliX<float>/AVX512/8                             5050 ns         5050 ns       139083
PauliX<float>/AVX512/10                            7267 ns         7266 ns        95187
PauliX<float>/AVX512/12                           16789 ns        16789 ns        41959
PauliX<float>/AVX512/14                           89066 ns        89056 ns         7788
PauliX<float>/AVX512/16                          353551 ns       353540 ns         1970
PauliX<float>/AVX512/18                         3192635 ns      3192444 ns          221
PauliX<float>/AVX512/20                        14029904 ns     14028803 ns           49
PauliX<float>/AVX512/22                       105350184 ns    105329845 ns            7
PauliX<float>/AVX512/24                       488502387 ns    488135779 ns            2
T<float>/AVX512/6                                  4485 ns         4484 ns       152665
T<float>/AVX512/8                                  8379 ns         8378 ns        82557
T<float>/AVX512/10                                13084 ns        13081 ns        53949
T<float>/AVX512/12                                33097 ns        33096 ns        21291
T<float>/AVX512/14                               116933 ns       116934 ns         6172
T<float>/AVX512/16                               457028 ns       457014 ns         1559
T<float>/AVX512/18                              2505644 ns      2505147 ns          268
T<float>/AVX512/20                             11350701 ns     11350067 ns           62
T<float>/AVX512/22                             83222769 ns     83205485 ns            8
T<float>/AVX512/24                            346689378 ns    346616265 ns            2
Hadamard<float>/AVX512/6                           5075 ns         5074 ns       100000
Hadamard<float>/AVX512/8                          11285 ns        11283 ns        50611
Hadamard<float>/AVX512/10                         38751 ns        38747 ns        25692
Hadamard<float>/AVX512/12                         83687 ns        83681 ns        13289
Hadamard<float>/AVX512/14                        606285 ns       606286 ns         1000
Hadamard<float>/AVX512/16                       2306497 ns      2306326 ns          288
Hadamard<float>/AVX512/18                       5077031 ns      5076440 ns          158
Hadamard<float>/AVX512/20                      22002748 ns     22001031 ns           37
Hadamard<float>/AVX512/22                     121157116 ns    121123698 ns            6
Hadamard<float>/AVX512/24                     529982863 ns    529916804 ns            1
S<float>/AVX512/6                                  4455 ns         4455 ns       158372
S<float>/AVX512/8                                  8277 ns         8276 ns        88600
S<float>/AVX512/10                                12031 ns        12030 ns        57918
S<float>/AVX512/12                                27830 ns        27830 ns        25256
