```
$docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-04T05:22:41+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.62, 0.58, 0.72
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------
GeneratorRY<float>/AVX512/6                        4658 ns         4658 ns       122818
GeneratorRY<float>/AVX512/8                        5456 ns         5456 ns       136836
GeneratorRY<float>/AVX512/10                      12520 ns        12520 ns        57062
GeneratorRY<float>/AVX512/12                      30281 ns        30280 ns        23187
GeneratorRY<float>/AVX512/14                     148912 ns       148889 ns         5127
GeneratorRY<float>/AVX512/16                     492727 ns       492640 ns         1633
GeneratorRY<float>/AVX512/18                    3293771 ns      3293063 ns          215
GeneratorRY<float>/AVX512/20                   14308047 ns     14305028 ns           44
GeneratorRY<float>/AVX512/22                  103220610 ns    103210753 ns            6
GeneratorRY<float>/AVX512/24                  491073336 ns    490991468 ns            2
GeneratorRZ<float>/AVX512/6                        4388 ns         4388 ns       151731
GeneratorRZ<float>/AVX512/8                        8174 ns         8174 ns        83833
GeneratorRZ<float>/AVX512/10                      11522 ns        11521 ns        62300
GeneratorRZ<float>/AVX512/12                      24755 ns        24754 ns        28721
GeneratorRZ<float>/AVX512/14                      94814 ns        94807 ns         6734
GeneratorRZ<float>/AVX512/16                     365277 ns       365278 ns         1834
GeneratorRZ<float>/AVX512/18                    2550903 ns      2550372 ns          332
GeneratorRZ<float>/AVX512/20                    8758685 ns      8757523 ns           64
GeneratorRZ<float>/AVX512/22                   86104099 ns     86096584 ns            8
GeneratorRZ<float>/AVX512/24                  384538069 ns    384520755 ns            2
GeneratorRX<float>/AVX512/6                        4479 ns         4478 ns       155298
GeneratorRX<float>/AVX512/8                        5067 ns         5066 ns       136825
GeneratorRX<float>/AVX512/10                       7483 ns         7482 ns        89669
GeneratorRX<float>/AVX512/12                      16973 ns        16972 ns        40906
GeneratorRX<float>/AVX512/14                      91744 ns        91735 ns         7651
GeneratorRX<float>/AVX512/16                     365837 ns       365808 ns         1932
GeneratorRX<float>/AVX512/18                    3208900 ns      3208590 ns          217
GeneratorRX<float>/AVX512/20                   14006904 ns     14005260 ns           48
GeneratorRX<float>/AVX512/22                  107600728 ns    107600079 ns            7
GeneratorRX<float>/AVX512/24                  492003427 ns    491985666 ns            2
PauliY<float>/AVX512/6                             4899 ns         4899 ns       141124
PauliY<float>/AVX512/8                             5723 ns         5723 ns       123176
PauliY<float>/AVX512/10                           13201 ns        13199 ns        52806
PauliY<float>/AVX512/12                           31447 ns        31445 ns        22454
PauliY<float>/AVX512/14                          121848 ns       121841 ns         5938
PauliY<float>/AVX512/16                          535751 ns       535677 ns         1678
PauliY<float>/AVX512/18                         3265435 ns      3265065 ns          212
PauliY<float>/AVX512/20                        13943084 ns     13940913 ns           48
PauliY<float>/AVX512/22                       109096457 ns    109068213 ns            7
PauliY<float>/AVX512/24                       488195042 ns    488179990 ns            2
PauliZ<float>/AVX512/6                             4643 ns         4643 ns       151671
PauliZ<float>/AVX512/8                             8303 ns         8302 ns        84214
PauliZ<float>/AVX512/10                           11329 ns        11327 ns        60879
PauliZ<float>/AVX512/12                           24077 ns        24077 ns        28153
PauliZ<float>/AVX512/14                          102357 ns       102348 ns         7315
PauliZ<float>/AVX512/16                          390583 ns       390547 ns         1976
PauliZ<float>/AVX512/18                         2104262 ns      2103967 ns          278
PauliZ<float>/AVX512/20                        10459758 ns     10458520 ns           63
PauliZ<float>/AVX512/22                        74906383 ns     74898883 ns            9
PauliZ<float>/AVX512/24                       366736238 ns    366697132 ns            2
PauliX<float>/AVX512/6                             4713 ns         4713 ns       153672
PauliX<float>/AVX512/8                             5307 ns         5306 ns       129372
PauliX<float>/AVX512/10                            7338 ns         7337 ns        95360
PauliX<float>/AVX512/12                           17537 ns        17519 ns        40614
PauliX<float>/AVX512/14                           90862 ns        90863 ns         7681
PauliX<float>/AVX512/16                          359620 ns       359621 ns         1931
PauliX<float>/AVX512/18                         3203087 ns      3202952 ns          217
PauliX<float>/AVX512/20                        14088847 ns     14086424 ns           48
PauliX<float>/AVX512/22                       104443616 ns    104426982 ns            7
PauliX<float>/AVX512/24                       510345258 ns    510311647 ns            2
T<float>/AVX512/6                                  4694 ns         4694 ns       153114
T<float>/AVX512/8                                  8895 ns         8894 ns        78629
T<float>/AVX512/10                                13622 ns        13621 ns        51256
T<float>/AVX512/12                                33848 ns        33845 ns        20666
T<float>/AVX512/14                               118591 ns       118583 ns         5663
T<float>/AVX512/16                               447725 ns       447687 ns         1520
T<float>/AVX512/18                              2388959 ns      2388804 ns          274
T<float>/AVX512/20                             11023653 ns     11023180 ns           53
T<float>/AVX512/22                             85004708 ns     84992636 ns            8
T<float>/AVX512/24                            403052386 ns    403017763 ns            2
Hadamard<float>/AVX512/6                           5948 ns         5948 ns       137688
Hadamard<float>/AVX512/8                           8610 ns         8609 ns        60171
Hadamard<float>/AVX512/10                         56342 ns        56330 ns        10000
Hadamard<float>/AVX512/12                        392624 ns       392595 ns        11026
Hadamard<float>/AVX512/14                       1540672 ns      1540395 ns         1000
Hadamard<float>/AVX512/16                        999999 ns       999587 ns          549
Hadamard<float>/AVX512/18                       7116372 ns      7115744 ns          100
Hadamard<float>/AVX512/20                      22649852 ns     22649328 ns           27
Hadamard<float>/AVX512/22                     120605783 ns    120540297 ns            6
Hadamard<float>/AVX512/24                     546233185 ns    546122819 ns            1
S<float>/AVX512/6                                  4524 ns         4523 ns       153415
S<float>/AVX512/8                                  8541 ns         8540 ns        96531
S<float>/AVX512/10                                12293 ns        12292 ns        56831
S<float>/AVX512/12                                28773 ns        28770 ns        24282
S<float>/AVX512/14                               109109 ns       109093 ns         6658
S<float>/AVX512/16                               417100 ns       417028 ns         2324
S<float>/AVX512/18                              2002601 ns      2002369 ns          350
S<float>/AVX512/20                              9698108 ns      9697477 ns           75
S<float>/AVX512/22                             83120139 ns     83108246 ns            8
S<float>/AVX512/24                            372056325 ns    371991450 ns            2
IsingYY<float>/AVX512/6                            5265 ns         5265 ns       133746
IsingYY<float>/AVX512/8                           10179 ns        10178 ns        67368
IsingYY<float>/AVX512/10                          14998 ns        14996 ns        46496
IsingYY<float>/AVX512/12                          36892 ns        36891 ns        19071
IsingYY<float>/AVX512/14                         151036 ns       151021 ns         4689
IsingYY<float>/AVX512/16                         587037 ns       587010 ns         1194
IsingYY<float>/AVX512/18                        4181919 ns      4181373 ns          168
IsingYY<float>/AVX512/20                       18310488 ns     18305777 ns           37
IsingYY<float>/AVX512/22                      119101517 ns    119089413 ns            6
IsingYY<float>/AVX512/24                      565020023 ns    565015601 ns            1
RZ<float>/AVX512/6                                 5134 ns         5133 ns       134829
RZ<float>/AVX512/8                                10340 ns        10339 ns        70814
RZ<float>/AVX512/10                               15901 ns        15899 ns        43305
RZ<float>/AVX512/12                               42500 ns        42499 ns        15997
RZ<float>/AVX512/14                              154568 ns       154551 ns         4603
RZ<float>/AVX512/16                              599558 ns       599559 ns         1180
RZ<float>/AVX512/18                             4188791 ns      4188103 ns          167
RZ<float>/AVX512/20                            18249594 ns     18246385 ns           38
RZ<float>/AVX512/22                           119790110 ns    119782354 ns            6
RZ<float>/AVX512/24                           550211987 ns    550140464 ns            1
Rot<float>/AVX512/6                               18120 ns        18118 ns        39061
Rot<float>/AVX512/8                               20559 ns        20556 ns        33797
Rot<float>/AVX512/10                              30288 ns        30286 ns        23244
Rot<float>/AVX512/12                              72224 ns        72211 ns         9354
Rot<float>/AVX512/14                             225293 ns       225269 ns         3152
Rot<float>/AVX512/16                             839356 ns       839279 ns          827
Rot<float>/AVX512/18                            4535900 ns      4535610 ns          154
Rot<float>/AVX512/20                           19593431 ns     19593058 ns           35
Rot<float>/AVX512/22                          132776821 ns    132757047 ns            5
Rot<float>/AVX512/24                          577015994 ns    576923877 ns            1
RX<float>/AVX512/6                                 5128 ns         5127 ns       100000
RX<float>/AVX512/8                                 9667 ns         9667 ns        71494
RX<float>/AVX512/10                               14732 ns        14732 ns        46169
RX<float>/AVX512/12                               37442 ns        37436 ns        19090
RX<float>/AVX512/14                              149386 ns       149354 ns         4633
RX<float>/AVX512/16                              599343 ns       599224 ns         1173
RX<float>/AVX512/18                             4157590 ns      4156762 ns          167
RX<float>/AVX512/20                            17879181 ns     17876927 ns           38
RX<float>/AVX512/22                           117189588 ns    117168138 ns            6
RX<float>/AVX512/24                           536816701 ns    536759726 ns            1
RY<float>/AVX512/6                                 5055 ns         5055 ns       100000
RY<float>/AVX512/8                                 9542 ns         9540 ns        73708
RY<float>/AVX512/10                               13610 ns        13609 ns        51608
RY<float>/AVX512/12                               32806 ns        32800 ns        21485
RY<float>/AVX512/14                              150083 ns       150053 ns         4703
RY<float>/AVX512/16                              590880 ns       590780 ns         1165
RY<float>/AVX512/18                             4207780 ns      4207032 ns          166
RY<float>/AVX512/20                            18367163 ns     18364464 ns           36
RY<float>/AVX512/22                           114933947 ns    114924690 ns            6
RY<float>/AVX512/24                           540586617 ns    539776556 ns            1
CZ<float>/AVX512/6                                 4716 ns         4715 ns       150701
CZ<float>/AVX512/8                                 8059 ns         8059 ns        82464
CZ<float>/AVX512/10                               10987 ns        10987 ns        64587
CZ<float>/AVX512/12                               21819 ns        21817 ns        32478
CZ<float>/AVX512/14                               61583 ns        61583 ns         9787
CZ<float>/AVX512/16                              243875 ns       243873 ns         2721
CZ<float>/AVX512/18                             1607617 ns      1607405 ns          482
CZ<float>/AVX512/20                             7649494 ns      7648426 ns           89
CZ<float>/AVX512/22                            60354717 ns     60348522 ns           11
CZ<float>/AVX512/24                           276015081 ns    275964101 ns            3
SWAP<float>/AVX512/6                               4732 ns         4732 ns       145590
SWAP<float>/AVX512/8                               5365 ns         5365 ns       130664
SWAP<float>/AVX512/10                              7040 ns         7040 ns        96189
SWAP<float>/AVX512/12                             15849 ns        15848 ns        45589
SWAP<float>/AVX512/14                             61349 ns        61344 ns        12719
SWAP<float>/AVX512/16                            249741 ns       249703 ns         2760
SWAP<float>/AVX512/18                           2053789 ns      2053570 ns          366
SWAP<float>/AVX512/20                           9931120 ns      9930241 ns           68
SWAP<float>/AVX512/22                          78630788 ns     78626280 ns            8
SWAP<float>/AVX512/24                         407168406 ns    407169408 ns            2
CNOT<float>/AVX512/6                               4507 ns         4507 ns       157056
CNOT<float>/AVX512/8                               5069 ns         5069 ns       138575
CNOT<float>/AVX512/10                              6828 ns         6827 ns       107353
CNOT<float>/AVX512/12                             13842 ns        13841 ns        47683
CNOT<float>/AVX512/14                             59734 ns        59729 ns        12735
CNOT<float>/AVX512/16                            226472 ns       226452 ns         3074
CNOT<float>/AVX512/18                           1874974 ns      1874682 ns          364
CNOT<float>/AVX512/20                           8764905 ns      8763619 ns           72
CNOT<float>/AVX512/22                          78228275 ns     78221550 ns            9
CNOT<float>/AVX512/24                         370075244 ns    370057799 ns            2
IsingZZ<float>/AVX512/6                            5116 ns         5116 ns       140947
IsingZZ<float>/AVX512/8                            9968 ns         9966 ns        70217
IsingZZ<float>/AVX512/10                          14597 ns        14596 ns        46801
IsingZZ<float>/AVX512/12                          35680 ns        35679 ns        20004
IsingZZ<float>/AVX512/14                         142336 ns       142330 ns         4917
IsingZZ<float>/AVX512/16                         556550 ns       556515 ns         1226
IsingZZ<float>/AVX512/18                        3891801 ns      3891474 ns          178
IsingZZ<float>/AVX512/20                       16932802 ns     16931526 ns           40
IsingZZ<float>/AVX512/22                      112748558 ns    112726728 ns            6
IsingZZ<float>/AVX512/24                      517444404 ns    517421770 ns            1
IsingXX<float>/AVX512/6                            4956 ns         4955 ns       138465
IsingXX<float>/AVX512/8                            9537 ns         9535 ns        73650
IsingXX<float>/AVX512/10                          14105 ns        14103 ns        50753
IsingXX<float>/AVX512/12                          34834 ns        34829 ns        20373
IsingXX<float>/AVX512/14                         143559 ns       143541 ns         4915
IsingXX<float>/AVX512/16                         562843 ns       562829 ns         1256
IsingXX<float>/AVX512/18                        3956795 ns      3956626 ns          176
IsingXX<float>/AVX512/20                       17246425 ns     17244608 ns           40
IsingXX<float>/AVX512/22                      112372523 ns    112341059 ns            6
IsingXX<float>/AVX512/24                      517384239 ns    517342460 ns            1
PhaseShift<float>/AVX512/6                         5350 ns         5350 ns       136476
PhaseShift<float>/AVX512/8                        10308 ns        10307 ns        66454
PhaseShift<float>/AVX512/10                       14273 ns        14271 ns        50000
PhaseShift<float>/AVX512/12                       31665 ns        31662 ns        22344
PhaseShift<float>/AVX512/14                      102404 ns       102397 ns         6593
PhaseShift<float>/AVX512/16                      400832 ns       400815 ns         1747
PhaseShift<float>/AVX512/18                     2342936 ns      2342639 ns          283
PhaseShift<float>/AVX512/20                    11378065 ns     11376776 ns           61
PhaseShift<float>/AVX512/22                    80536015 ns     80518807 ns            8
PhaseShift<float>/AVX512/24                   364693323 ns    364631023 ns            2
SingleQubitOp<float>/AVX512/6/1                    6756 ns         6756 ns       103737
SingleQubitOp<float>/AVX512/8/1                    8829 ns         8829 ns        78605
SingleQubitOp<float>/AVX512/10/1                  17712 ns        17710 ns        39712
SingleQubitOp<float>/AVX512/12/1                  54333 ns        54326 ns        12779
SingleQubitOp<float>/AVX512/14/1                 200966 ns       200925 ns         3358
SingleQubitOp<float>/AVX512/16/1                 785498 ns       785409 ns          880
SingleQubitOp<float>/AVX512/18/1                4240523 ns      4240013 ns          164
